conference_topic,research_area,concept
The 10th workshop on biostatistics and bioinformatics,advanced statistics,bioinformatics
The 10th workshop on biostatistics and bioinformatics,statistical modeling,biostatistics
The 10th workshop on biostatistics and bioinformatics,statistical modeling,bioinformatics
Maryland summer school in statistics and machine learning,advanced statistics,statistics
Maryland summer school in statistics and machine learning,advanced statistics,machine learning
27th international scientific symposium on bioometrics biostat,applied biostatistics,biostat
27th international scientific symposium on bioometrics biostat,applied biostatistics,bioometrics
27th international scientific symposium on bioometrics biostat,advanced statistics,biostat
27th international scientific symposium on bioometrics biostat,advanced statistics,bioometrics
27th international scientific symposium on bioometrics biostat,statistical modeling,biostat
27th international scientific symposium on bioometrics biostat,statistical modeling,bioometrics
Bayes comp,advanced statistics,bayesian
International conference on statistics and data science at vancouver,advanced statistics,data science
International conference on statistics and data science at vancouver,advanced statistics,statistics
International conference on statistics and data science at vancouver,statistical modeling,data science
International conference on statistics and data science at vancouver,statistical modeling,statistics
45th international symposium on forecasting,advanced statistics,forecasting
45th international symposium on forecasting,statistical modeling,forecasting
"Masemo : markov, semi-markov models and associated fields (from theory to application and back)",advanced statistics,markov
"Masemo : markov, semi-markov models and associated fields (from theory to application and back)",advanced statistics,semi-markov models
"Masemo : markov, semi-markov models and associated fields (from theory to application and back)",advanced statistics,markov models
"Masemo : markov, semi-markov models and associated fields (from theory to application and back)",statistical modeling,markov
"Masemo : markov, semi-markov models and associated fields (from theory to application and back)",statistical modeling,semi-markov models
"Masemo : markov, semi-markov models and associated fields (from theory to application and back)",statistical modeling,markov models
International vilnius conference on statistics and its applications,advanced statistics,statistics
International vilnius conference on statistics and its applications,statistical modeling,statistics
