conference_topic,journal,extracted_concept
"Stress, anxiety and depression",adult mental health,depression
"Stress, anxiety and depression",adult mental health,anxiety disorders
Psychiatric rehabilitation,adult mental health,psychiatric rehabilitation
Psychiatric rehabilitation,adult mental health,psychiatry
Psychiatric and mental health nursing,adult mental health,mental health nursing
Psychiatric and mental health nursing,adult mental health,psychiatry
Psychiatry and psychology practices,adult mental health,psychology
Psychiatry and psychology practices,adult mental health,psychiatry
Psychopharmacology role: mental health,adult mental health,psychopharmacology
Psychopathology,adult mental health,psychopathology
psychopathology,psychopathology,psychopathology
phenomenology,psychopathology,phenomenology
All-electric aircraft,aerospace electric power,aerospace engineering
All-electric aircraft,aerospace electric power,electric aircraft
Circuit breakers,aerospace electric power,electrical engineering
Power cables,aerospace electric power,electrical engineering
Motors,aerospace electric power,electric motors
Batteries,aerospace electric power,electrochemistry
Batteries,aerospace electric power,battery technology
Fuel cells,aerospace electric power,fuel cells
Fuel cells,aerospace electric power,electrochemistry
Supercapacitors,aerospace electric power,electrochemistry
Supercapacitors,aerospace electric power,supercapacitors
Converters,aerospace electric power,power electronics
Arc tracking,aerospace electric power,electrical insulation
Storage resources,aerospace electric power,energy storage
Modification of the internal flows of thermal propulsion systems using local aerodynamic inserts,aerospace propulsion systems,aerodynamics
Modification of the internal flows of thermal propulsion systems using local aerodynamic inserts,aerospace propulsion systems,thermal propulsion
Digital twins for aerospace systems,aerospace systems,digital twins
Cfd methods for aerodynamics applications (joint session apa/fd/mst),aerospace systems,aerodynamics
Cfd methods for aerodynamics applications (joint session apa/fd/mst),aerospace systems,computational fluid dynamics
